Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
SYDNEY,2016,1,1104447,1113703,781878,675908
TOWNSVILLE,2016,1,58001,53823,1864,1370
ADELAIDE,2016,2,267124,259758,35415,29381
BRISBANE,2016,2,627222,628947,212385,196486
CAIRNS,2016,2,147359,150684,29128,28700
CANBERRA,2016,2,113441,110029,0,0
DARWIN,2016,2,52593,53943,9106,7612
GOLD COAST,2016,2,197007,202951,42775,36302
HAMILTON ISLAND,2016,2,20744,20562,0,0
HOBART,2016,2,97978,97936,0,0
LAUNCESTON,2016,2,57729,56406,0,0
MACKAY,2016,2,28048,28251,0,0
MELBOURNE,2016,2,962294,958670,409332,354902
NEWCASTLE,2016,2,44280,45153,0,0
PERTH,2016,2,298463,306771,183022,150969
SYDNEY,2016,2,1056881,1054242,636639,567917
TOWNSVILLE,2016,2,49452,48711,1352,1370
ADELAIDE,2016,3,305728,298866,32873,33552
BRISBANE,2016,3,710475,717302,207898,219618
CAIRNS,2016,3,161725,158261,26429,29816
CANBERRA,2016,3,125542,126699,0,0
DARWIN,2016,3,65319,65196,8824,9100
GOLD COAST,2016,3,219004,218426,46336,44337
HAMILTON ISLAND,2016,3,22312,20772,0,0
HOBART,2016,3,104741,107306,0,0
LAUNCESTON,2016,3,61282,61169,0,0
MACKAY,2016,3,33248,33232,0,0
MELBOURNE,2016,3,1040159,1071754,375712,400070
NEWCASTLE,2016,3,50766,50326,0,0
PERTH,2016,3,351129,344678,169100,174373
SYDNEY,2016,3,1162751,1135735,601343,625198
TOWNSVILLE,2016,3,58566,58563,1555,1604
ADELAIDE,2016,4,291320,302867,31541,36181
BRISBANE,2016,4,698082,690470,212414,207393
CAIRNS,2016,4,158962,163293,25976,25867
CANBERRA,2016,4,118371,122047,0,0
DARWIN,2016,4,72103,70832,9808,10021
GOLD COAST,2016,4,213036,219439,45883,39557
HAMILTON ISLAND,2016,4,21842,22714,0,0
HOBART,2016,4,94140,102924,0,0
LAUNCESTON,2016,4,54996,60277,0,0
MACKAY,2016,4,32759,32306,0,0
MELBOURNE,2016,4,1034619,975844,377543,363931
NEWCASTLE,2016,4,46121,48685,0,0
PERTH,2016,4,339551,343860,172768,180423
SYDNEY,2016,4,1105980,1120670,602761,612185
TOWNSVILLE,2016,4,61298,59331,1417,1604
ADELAIDE,2016,5,281939,282036,31336,37676
BRISBANE,2016,5,684637,680157,192720,200906
CAIRNS,2016,5,153667,154045,18986,22772
CANBERRA,2016,5,121205,120895,0,0
DARWIN,2016,5,76985,73577,10481,11275
GOLD COAST,2016,5,190164,193810,40725,37346
