date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2015-05-30,98,良,27,57,22,0.8,42,158
2015-05-31,115,轻度污染,36,71,13,0.9,38,177
2015-06-01,132,轻度污染,41,76,16,0.8,31,195
2015-06-02,87,良,44,82,14,0.8,40,144
2015-06-03,64,良,21,44,11,0.7,35,117
2015-06-04,60,良,20,36,9,0.7,28,112
2015-06-05,87,良,18,42,11,0.6,36,144
2015-06-06,93,良,29,61,13,0.8,37,151
2015-06-07,107,轻度污染,53,88,10,0.9,32,168
2015-06-08,56,良,35,62,18,0.9,43,101
2015-06-09,117,轻度污染,35,65,21,0.8,41,179
2015-06-10,170,中度污染,71,123,20,1,62,235
2015-06-11,90,良,48,114,18,0.8,48,148
