B站id,昵称,性别,回复内容
阿婆主好棒！！我体会到时代精神了！！向时代精神致敬！,199523961,是阿九酱呐,女
你咋这么厉害呢！！,26050554,보블리,保密
里面有我的镜头，大家带上显微镜找一下[呲牙],250128226,陆瘦瘦瘦不瘦,保密
武大学生评委不请自来，看完真心觉得是我评的A组最佳，直接给了100分。,4538571,7zZzZzh,男
哈哈哈，演的好，一键三连,131557769,云朵里藏着彩虹,保密
刚刚思政课老师给我们放了这个，拍得很好[鼓掌]，就是那个小朋友长得有点着急[偷笑]。,355107733,TeririHunter,男
大头大头  大头不油,384757766,肆斬與,男
u1s1 动医养猪户牛逼,28778977,阿泰的一些事一些情,保密
慧姐美！,3371187,衬衫的价格是九磅十五便土,男
女主好好看啊awsl,349220110,三维生物hgood9,保密
这个一键三连我给定了,20599536,follower吉卜力,男
没戴眼镜都看见了老大了,308899050,小小小小小李子子,男
woc男老师长的也太帅了叭！,259450914,饭饭XF,保密
硬是没找到你在哪[吃瓜]，莫非你在虚化的画面部分[思考],383600789,宸曜曦,保密
我的沙发呢,66609545,种菇大师,男
城建学院,473244042,bili_19784380984,保密
这次一定[OK],62488036,酱油要用原酿造,保密
这次一定[热词系列_三连],21251774,小凯开心了吗,保密
蛇皮和小菲姐是真的顶,259056499,不想画画的阿giao,保密
来晚了，[tv_坏笑],259056499,不想画画的阿giao,保密
好棒[星星眼][星星眼],291547111,Nancy素直,女
辛苦了,8235402,仪の喵,女
这不比xz强？[歪嘴],318943164,封印中-尚未开启主线,女
宝娟到此一游,95810756,表情包-讲究,男
好耶！,406742189,宁夏理工学院,保密
看看能不能占个一楼[大笑],375066482,滑稽丶無,保密
花絮剪得简直完美[星星眼],490871255,NANAMINANAMIななみ,保密
emmmmmm,23224253,鱼悦白,保密
差点真的以为有个男的[吃瓜],484410173,遗失的张杰,保密
牛牛牛牛,490795620,乐阳洛,保密
来咯来咯,400559449,快乐23332333,保密
！！！！,355142318,林亖11,女
加油(ง •̀_•́)ง上学人！！！,487093547,云烟墨韵,男
感谢up救鄙人狗命,520875982,九重子魉,保密
感谢up视频救我狗命[跪了],109142813,月初于東方,女
把你400字给我交了,31443087,不管风的小神仙,保密
建议用0.5倍速或0.75倍速看，我看的时候用的二倍速[doge][doge][doge],522943536,許墨,保密
感谢up救我狗命,123934556,雪花山上有晓雪,保密
感谢 我投币了,489676553,安稳DCX,男
我淦，谢谢up救我狗命,357976324,薛洛儿,女
我们要发截图，我丢，幸好！感谢up,437195212,桃桃桃子er,女
感谢up救我狗命[doge],437195212,桃桃桃子er,女
您就是带好人，三连奉上,431271170,取个能让up注意的名字,保密
感谢救我狗命,397523538,孤芳不自哀,男
感谢救我狗命,259514896,钦点柒陆,保密
差点以为我没了。。。阿婆牛批！[点赞],26106277,八佰鲤,保密
nice,88178324,脑袋可不是面团,男
给予三连以视感谢,519345226,溜冰小螃蟹,保密
在哪看的,349694288,Ed_hunter,男
感谢救我狗命,431271170,取个能让up注意的名字,保密
跪谢up,471108922,励志萘布,女
多谢小老板，不然我都写不了心得[笑哭],342082125,黒真珠の花,男
感谢给予观看,289998385,木念z,女
看到弹幕说什么“民国最自由的时代”，这简直就是无耻，五四运动的起源于中国作为一战战胜国，山东青岛却从德国转让给日本，这是国耻！这是弱国无外交的证明！这是落后就要挨打的注解！,86453746,钱币屋,保密
取关了取关了 不管吹的好不好 吃的质量没保证啊,1628909,鹤云仙人,保密
民国，少数人的天堂，多数人的地狱。,13660013,咖喱土豆泥上校,保密
