﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
大学生讲思政课——辽宁大学作品——镌刻在校匾上的信仰基因,11:48,1272,0,毛森考拉桑,2020-09-02,https://www.bilibili.com/video/BV1n5411b78e?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=456963352&sort=1
2019年“我心中的思政课”微电影获特等奖作品—杜鹃红 深海蓝（九江职业技术学院）,14:57,689,1,账号注销58692,2020-10-19,https://www.bilibili.com/video/BV1kA41177Hy?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=329879634&sort=1
大学生讲思政课,07:06,1151,1,源天墨,2018-10-08,https://www.bilibili.com/video/BV1UW411y7Dh?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=33378855&sort=1
郑强思政课水平怎么样？,03:37,4737,6,与您众观世界,2020-04-10,https://www.bilibili.com/video/BV1WA411h7W2?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=327674020&sort=1
大学生思政课2020精华,01:29:00,2311,0,四叠半の月光,2020-03-10,https://www.bilibili.com/video/BV15E411T7GU?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=94935756&sort=1
浅谈价值观(理想)，思政课微视频,08:01,156,0,海大新新,2020-09-07,https://www.bilibili.com/video/BV1MD4y1o7xv?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=712080431&sort=1
西北工业大学“我心中的思政课”微电影《信念》,11:01,985,28,Dream-Liner,2020-11-18,https://www.bilibili.com/video/BV1va4y1p78s?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=670323177&sort=1
思政课微电影《生死之间》,09:58,1217,12,一叶之萌耳,2019-11-09,https://www.bilibili.com/video/BV1EE411v7xs?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=75047777&sort=1
2017年“我心中的思政课”微电影获特等奖作品—因为有了你（九江职业技术学院）,14:56,453,1,账号注销58692,2020-10-21,https://www.bilibili.com/video/BV1VD4y197Br?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=712559157&sort=1
【我心中的思政课】社会主义核心价值观,08:38,712,0,TroyXun,2020-10-21,https://www.bilibili.com/video/BV1Xf4y1B7g2?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=287537294&sort=1
