化工,排放口,浙江长华科技股份有限公司
纺织染整,纳管口,嘉兴茉织华漂染有限公司
化工,标排口,宁波昊鑫裕隆新材料有限公司
化工,废水排放口,宁波龙利钜能新材料有限公司北仑分公司
电镀,排放口,江山市纪元电镀五金有限公司
造纸,废水排放口,浙江恒川新材料有限公司
医药,雨排口4#,浙江昌海生物有限公司
医药,标排口,浙江海森药业有限公司
污水处理厂,进口,兰溪市游埠污水处理有限公司
化工,信汇VOCs排放口,浙江信汇新材料股份有限公司
电镀,标排口1#,宁波派灵实业有限公司
电镀,排放口,象山城东工业园表面处理有限公司（宁波乔明家居用品实业有限公司）
纺织染整,1#排口,宁波亚美毛绒制品有限公司
纺织染整,标排口,浙江合一织造有限公司
污水处理厂,2#排口,杭州天创水务有限公司
污水处理厂,总排口,浙江安吉水务有限公司污水处理厂
纺织染整,入网口,嘉禾明秀纺织有限公司
热电,废气排放口,温州泰康供热有限公司
纺织染整,标排口,绍兴第二印染有限公司
造纸,总排放口,绍兴天明纸业有限公司
化工,1#VOC排放口,南亚塑胶工业（宁波）有限公司
重金属,标排口,浙江金诚贵金属科技有限公司
化工,EVA厂焚化炉,台塑工业（宁波）有限公司
电镀,标排口,宁海县金艺氧化厂
食品加工,标排口,浙江上水捷运食品有限公司
化工,三江VOCs排放口,嘉兴三江化工有限公司
造纸,废水标排口,杭州广丰纸业有限公司
纺织染整,总排放口,诸暨天义恒染整有限公司
纺织染整,总排口,浙江高和羊毛科技有限公司
火电,7#标排口,台州发电厂
化工,废水排放口,浙江海升化学有限公司
电镀,标排口,浦江县三阳工贸有限公司
化工,（锦纶B排放口）,衢州巨化锦纶责任有限公司
纺织染整,标排口,湖州纳尼亚实业有限公司
纺织染整,总排口,嘉兴市泰石漂染厂
纺织染整,标排口,浙江昆隆毛绒制品有限公司
纺织染整,标排口,浙江四海氨纶纤维有限公司
纺织染整,入网口,浙江森宝纺织科技有限公司（原浙江森宝印染有限公司）
化工,分馏加热炉烟气G3-3,宁波中金石化有限公司
造纸,废水排放口,杭州富阳永乐纸业有限公司
污水处理厂,进水口,杭州富阳水务有限公司场口排水分公司
化工,双宏化工环保标排口,金华双宏化工有限公司
医药,1#排口,浙江九洲药业股份有限公司椒江岩头分公司
造纸,废水排放口,杭州板桥纸业有限公司
污水处理厂,标准排放口,文成县公用事业投资有限公司（百丈漈污水处理厂）
造纸,1#排口,浙江豪博鞋材有限公司
食品加工,标排口,兰溪五丰冷食有限公司
火电,1#排放口,国电湖州南浔天然气热电有限公司
热电,1#废气排放口,绍兴美佳热电有限公司
纺织染整,排放口,杭州大地印染有限公司
化工,标排口1#,杭州石化有限责任公司
垃圾焚烧,3#,德长环保股份有限公司（德力西长江环保投资有限公司）
污水处理厂,废水排放口,杭州富阳水务有限公司新登排水分公司
垃圾焚烧,3#排放口,杭州萧山锦江绿色能源有限公司
电镀,标准排放口,福达合金材料股份有限公司
水泥,1#窑尾排口,宁波科环新型建材股份有限公司
污水处理厂,标排口,桐庐横村镇污水处理厂
污水处理厂,总排口,舟山中电建水务有限公司（六横镇城镇污水处理厂）
电镀,标排口,宁波奉化宇阳环保科技厂
化工,标排口,浙江省东阳市金鑫化学工业有限公司
水泥,1#标排口,浙江省赤龙水泥有限公司
食品加工,废水排放口,湖州思念食品有限公司
化工,废气排放口,嘉利达（苍南）明胶有限公司
电镀,标准排放口,温州市合富工贸有限公司
污水处理厂,排放口,嘉兴市闻源水务投资有限公司红莫污水处理站
造纸,废水排放口,嘉善奕帆纸业有限公司
化工,废气排放口,浙江卫星石化股份有限公司
纺织染整,标排口,临安藻溪漂染厂
造纸,废水标排口,杭州富阳文博纸业有限公司
污水处理厂,再生水处理排放口,舟山市污水处理有限公司（定海污水处理厂）
化工,总排口,浙江创峰化工有限公司
纺织染整,标排口,浙江芬莉袜业有限公司
热电,2#废气排放口,绍兴皋埠热电有限公司
污水处理厂,标准排放口,上海中发环保有限公司乐清分公司(大荆污水处理厂)
纺织染整,标排口,浙江彩蝶实业股份有限公司
化工,厂界VOC,宁波赫革丽高分子科技有限公司
医药,1#VOC排口,浙江联盛化学股份有限公司
污水处理厂,总排口,湖州市污水处理有限公司市北污水厂
热电,2#废气排放口,上虞杭协热电有限公司
垃圾焚烧,1号炉,苍南玉苍伟明环保能源有限公司
垃圾焚烧,废气排放口,德长环保股份有限公司（德力西长江环保投资有限公司）
化工,废水排放口,浙江衢州卓尔化学有限公司
污水处理厂,总排口,安吉净源污水处理有限公司
化工,标准排放口,瑞安市华宝化工有限公司
电镀,总排口,新昌县新宏力铝业有限公司
化工,1#标排口,杭州浙晨橡胶有限公司
污水处理厂,废水排放口,宁波市鄞州区城市排水有限公司滨海污水处理厂
医药,废水排放口,衢州伟荣药化有限公司
纺织染整,标准排放口,宁波怡东印花有限公司
污水处理厂,排放口,嘉兴市秀洲区油车港镇上睦村污水处理站
污水处理厂,1#排口,台州市黄岩北控污水处理有限公司
垃圾焚烧,1#排放口5#垃圾焚烧炉,浙江春晖环保能源有限公司
化工,总排口,上虞舜联化工有限公司
纺织染整,1#排口,浙江哥伦布纺织印染有限公司
化工,废水排放口,浙江兆和化工有限公司
污水处理厂,进水口,浙江国水环保科技有限公司（昆鳌污水处理厂）
火电,排放口,浙江浙能电力股份有限公司萧山发电厂
电镀,雨水口,武义县兴盛电镀厂
纺织染整,标排口,浙江怡创印染有限公司
金属加工,标排口,浙江解放机械制造有限公司
食品加工,总排口,宁波海龙罐头食品有限公司
污水处理厂,标准排放口,文成县公用事业投资有限公司（珊溪巨屿污水处理厂）
造纸,标排口1#,临安市青山纸业有限公司
