管理级别,排放去向,站点编码,所属区域,所属行业,站点名称,组织机构代码,企业名称
3,,33330182010431,330182,纺织染整,标排口,91330182759514373N,杭州圣玛特毛绒有限公司
3,,33330803000351,330803,食品加工,衢州市民心食品有限公司污水排放口,91330803775747417N,衢州市民心食品有限公司
3,,33330902000161,330902,污水处理厂,一二期排污口,913309007368887354,舟山市污水处理有限公司（定海污水处理厂）
3,,33330782000052,330782,热电,2号烟囱,91330782147644644X,浙江华川实业集团有限公司一期
3,,33330304000051,330304,污水处理厂,标准排放口,9133030034401625X4,温州市排水有限公司南片污水处理厂
3,,33330825000081,330825,造纸,标排口,74700010-5,浙江大明特种纸业有限公司
3,,33330481000401,330481,纺织染整,入管网口,913304817352556613,浙江华昌纺织有限公司（原海宁东雁印染有限公司）
3,,33331004000251,331004,电镀,1#排口,14814568-7,台州市路桥区新桥电镀厂
3,,33330211204094,330211,化工,RTO排气筒,91330211734249374L,宁波三江益农化学有限公司
3,,33330225000501,330225,纺织染整,标排口,91330210MA28191C20,宁波牦牛控股有限公司
3,,33330424010431,330424,化工,纳管口,91330400799632139C,浙江伟博化工科技有限公司
3,,33330183000091,330111,造纸,废水标排口,75170042-X,杭州国佳纸业有限公司
3,,33331082000951,331082,造纸,1#排口,91331082749032020G,台州市玫瑰纸业有限公司
4,,33331122000172,331122,,1#,6827,缙云县笕川红砖厂
4,,33330922201602,330921,锅炉,废气排放口,5297,舟山市银岱汽车零部件有限公司
2,2,33330183001461,330183,皮革,标排口,,富阳王裕生纸业有限公司
4,0,3302110000000541,330211,皮革,排放口,6528,宁波特艾科机械制造有限公司
4,0,33330782011441,330782,皮革,标排口,4484,义乌市相伴乳胶有限公司
4,0,33331002000581,331002,皮革,标排口,5428,台州市浩宇电镀有限公司
4,,33330381000132,330381,,废气排放口（东山）,2430,浙江华峰氨纶股份有限公司
1,,33330122000272,330122,工业炉窑,废气排放口,5147,浙江环益资源利用有限公司
4,0,33330782800107,330901,皮革,标排口,5295,舟山市宏洲船舶修造有限责任公司
