Excel文件名称		时间		功率		风速
201505.xls	Sheet11		0.447916666666667		164.0		11.5
201505.xls	Sheet11		0.4583333333333333		165.0		11.4
201505.xls	Sheet11		0.500000000000001		161.0		11.2
201505.xls	Sheet17		0.7916666666666666		166.0		12.8
201505.xls	Sheet17		0.8020833333333334		165.0		13.3
201505.xls	Sheet17		0.8125		161.0		12.7
201505.xls	Sheet17		0.822916666666667		163.0		11.9
201505.xls	Sheet17		0.833333333333333		163.0		11.8
201505.xls	Sheet17		0.90625		164.0		11.8
201505.xls	Sheet17		0.916666666666667		165.0		12.3
201505.xls	Sheet17		0.927083333333333		164.0		12.4
201505.xls	Sheet17		0.9375		165.0		12.5
201505.xls	Sheet17		0.947916666666667		164.0		12.2
201505.xls	Sheet17		0.96875		161.0		11.2
201505.xls	Sheet17		0.979166666666667		163.0		11.8
201505.xls	Sheet17		0.9895833333333334		161.0		11.2
201506.xls	Sheet4		0.260416666666667		165.0		11.2
201506.xls	Sheet4		0.270833333333333		165.0		11.4
201506.xls	Sheet4		0.28125		163.0		11.6
201506.xls	Sheet4		0.125		165.0		15.0
201506.xls	Sheet4		0.135416666666666		165.0		15.0
201506.xls	Sheet4		0.145833333333333		166.0		14.5
201506.xls	Sheet4		0.156249999999999		167.0		14.0
201506.xls	Sheet4		0.25		162.0		11.4
201506.xls	Sheet7		0.302083333333333		162.0		11.2
201506.xls	Sheet27		0.7604166666666666		164.0		10.7
201506.xls	Sheet27		0.770833333333333		164.0		10.7
201506.xls	Sheet27		0.78125		162.0		10.8
201506.xls	Sheet27		0.75		161.0		10.7
201507.xls	Sheet27		0.541666666666667		7.0		5.16.4
